source_file,json_path,title,description,current_url,new_url
plugins/auth/github/schema.json,(root),GitHub OAuth,Configure one or more GitHub identity providers for OpenShift OAuth. Credentials are loaded from Vault by external secret name at apply time.,https://docs.openshift.com/container-platform/4.21/authentication/identity_providers/configuring-github-identity-provider.html,
plugins/auth/github/schema.json,hostname,Hostname,Optional GitHub Enterprise hostname. Leave empty to use github.com.,https://docs.openshift.com/container-platform/4.21/authentication/identity_providers/configuring-github-identity-provider.html,
plugins/auth/github/schema.json,mappingMethod,Mapping Method,"OpenShift identity mapping method. claim=use GitHub username directly, lookup=must pre-exist, generate=create unique name, add=link existing.",https://docs.openshift.com/container-platform/4.21/authentication/identity_providers/configuring-github-identity-provider.html,
plugins/auth/github/schema.json,providers,Providers,GitHub identity providers to render into OpenShift OAuth configuration. Each provider maps to one GitHub OAuth App.,https://docs.openshift.com/container-platform/4.21/authentication/identity_providers/configuring-github-identity-provider.html,
plugins/auth/github/schema.json,secretNamespace,Secret Namespace,Namespace where OAuth client secret objects are created. Should match the OAuth cluster configuration namespace.,https://docs.openshift.com/container-platform/4.21/authentication/identity_providers/configuring-github-identity-provider.html,
plugins/operators/acm/schema.json,(root),Advanced Cluster Management (ACM),Sets up a full ACM hub for ZTP/CAPI deployments. Specify {} for all defaults.,https://docs.redhat.com/en/documentation/red_hat_advanced_cluster_management_for_kubernetes/2.14,
plugins/operators/acm/schema.json,agentServiceConfig,AgentServiceConfig,"Assisted-service storage configuration for cluster installation management. Controls PVC sizes for databases, ISOs, and OS images.",https://docs.redhat.com/en/documentation/red_hat_advanced_cluster_management_for_kubernetes/2.14/html/clusters/cluster_mce_overview#enable-cim,
plugins/operators/acm/schema.json,channel,Channel,"OLM subscription channel. Version-pinned (e.g. release-2.13, release-2.14).",https://docs.redhat.com/en/documentation/red_hat_advanced_cluster_management_for_kubernetes/2.14/html/install/installing#installing-while-connected-online,
plugins/operators/acm/schema.json,multiClusterHub,MultiClusterHub,MultiClusterHub instance configuration. The central management component of ACM.,https://docs.redhat.com/en/documentation/red_hat_advanced_cluster_management_for_kubernetes/2.14/html/install/installing#installing-while-connected-online,
plugins/operators/acm/schema.json,provisioning,Provisioning,Assisted-service provisioning configuration. Use plugins.baremetal.ironic for Ironic/Metal3 settings.,https://docs.redhat.com/en/documentation/red_hat_advanced_cluster_management_for_kubernetes/2.14/html/clusters/cluster_mce_overview#enable-cim,
plugins/operators/argocd/schema.json,(root),ArgoCD / OpenShift GitOps,Installs openshift-gitops-operator and configures an ArgoCD instance. Specify {} for all defaults.,https://docs.openshift.com/gitops/latest/understanding_openshift_gitops/about-redhat-openshift-gitops.html,
plugins/operators/argocd/schema.json,applicationSet,ApplicationSet,Enable the ApplicationSet controller for templated multi-cluster Application generation.,https://argo-cd.readthedocs.io/en/stable/operator-manual/applicationset/,
plugins/operators/argocd/schema.json,bootstrap,Bootstrap Application,App-of-apps bootstrap Application that manages further operators and configuration from a Git repository.,https://argo-cd.readthedocs.io/en/stable/operator-manual/cluster-bootstrapping/,
plugins/operators/argocd/schema.json,channel,Channel,"OLM subscription channel (e.g. latest, gitops-1.14).",https://docs.openshift.com/gitops/latest/installing_gitops/installing-openshift-gitops.html,
plugins/operators/argocd/schema.json,ha,High Availability,"Enable HA for ArgoCD components (multiple replicas for server, repo, and controller).",https://docs.openshift.com/gitops/latest/argocd_instance/setting-up-argocd-instance.html,
plugins/operators/argocd/schema.json,notifications,Notifications,"Enable the ArgoCD notifications controller for event-driven alerts (Slack, email, webhooks).",https://argo-cd.readthedocs.io/en/stable/operator-manual/notifications/,
plugins/operators/argocd/schema.json,rbac,RBAC,ArgoCD role-based access control configuration.,https://argo-cd.readthedocs.io/en/stable/operator-manual/rbac/,
plugins/operators/argocd/schema.json,repo,Repo Server,ArgoCD repo server configuration for Git repository operations.,https://argo-cd.readthedocs.io/en/stable/operator-manual/argocd-repo-server/,
plugins/operators/cert-manager/schema.json,(root),cert-manager Operator,TLS certificate automation. Install-and-go operator with no additional CRs needed for base install. Specify {} for all defaults.,https://docs.openshift.com/container-platform/4.21/security/cert_manager_operator/index.html,
plugins/operators/cert-manager/schema.json,channel,Channel,OLM subscription channel (e.g. stable-v1).,https://docs.openshift.com/container-platform/4.21/security/cert_manager_operator/cert-manager-operator-install.html,
plugins/operators/cert-manager/schema.json,letsencrypt,LetsEncrypt Configuration,"Configure cert-manager with LetsEncrypt DNS-01 validation. Choose the provider as aws or cloudflare. AWS uses Route53 for DNS-01. Renders ExternalSecret, ClusterIssuer, and Certificate resources.",https://cert-manager.io/docs/configuration/acme/dns01/,
plugins/operators/external-secrets/schema.json,(root),External Secrets Operator,"Sync secrets from external stores (HashiCorp Vault, AWS Secrets Manager, Azure Key Vault, GCP Secret Manager). Runs in all-namespaces mode via openshift-operators. Specify {} for all defaults.",https://external-secrets.io/latest/,
plugins/operators/external-secrets/schema.json,channel,Channel,OLM subscription channel (e.g. stable-v1).,https://external-secrets.io/latest/introduction/getting-started/,
plugins/operators/external-secrets/schema.json,vault,Vault Backend,Configure a ClusterSecretStore backed by HashiCorp Vault or OpenBao with Kubernetes auth.,https://external-secrets.io/latest/provider/hashicorp-vault/,
plugins/operators/lso/schema.json,(root),Local Storage Operator (LSO),Exposes local block devices as PVs via LocalVolumeSet. Provides StorageClass for ODF on bare-metal/KubeVirt nodes. Specify {} for all defaults.,https://docs.openshift.com/container-platform/4.21/storage/persistent_storage/persistent_storage_local/persistent-storage-using-local-volume.html,
plugins/operators/lso/schema.json,channel,Channel,"OLM subscription channel (e.g. stable, stable-4.18).",https://docs.openshift.com/container-platform/4.21/storage/persistent_storage/persistent_storage_local/persistent-storage-using-local-volume.html#local-storage-install_local-storage-operator,
plugins/operators/lso/schema.json,deviceInclusionSpec,Device Inclusion Spec,Filter which local devices the operator should discover and provision. Omit to use all available block devices.,https://docs.openshift.com/container-platform/4.21/storage/persistent_storage/persistent_storage_local/persistent-storage-using-local-volume.html#local-volume-cr_local-storage-operator,
plugins/operators/lso/schema.json,nodeSelector,Node Selector,Label selector for nodes with local disks. Defaults to ODF storage label: cluster.ocs.openshift.io/openshift-storage.,https://docs.openshift.com/container-platform/4.21/storage/persistent_storage/persistent_storage_local/persistent-storage-using-local-volume.html#local-volume-cr_local-storage-operator,
plugins/operators/lso/schema.json,storageClassName,Storage Class Name,Name of the StorageClass created by the LocalVolumeSet. Referenced by ODF StorageCluster as the underlying block PVC class.,https://docs.openshift.com/container-platform/4.21/storage/persistent_storage/persistent_storage_local/persistent-storage-using-local-volume.html#local-volume-cr_local-storage-operator,
plugins/operators/lso/schema.json,volumeMode,Volume Mode,PV volume mode. Block for ODF/Ceph raw device access; Filesystem for general-purpose file storage.,https://docs.openshift.com/container-platform/4.21/storage/persistent_storage/persistent_storage_local/persistent-storage-using-local-volume.html#local-volume-cr_local-storage-operator,
